Airline
Air Canada
Air France
Air New Zealand
Alaska Airlines
Alitalia
All Nippon Airways
American
Austrian Airlines
British Airways
Delta / Northwest
Finnair
Hawaiian Airlines
Japan Airlines
KLM
Lufthansa
Qantas
Singapore Airlines
SWISS
TAP - Air Portugal
United / Continental
US Airways / America West
Virgin Atlantic
